"","Metro","Metro_labor_force","Artists","Graphic_Designers","Fashion_Designers","Other_Designers","Musicians","Writers","Photographers","Dancers_Chors","Actors","Producers_Dirs"
"1","Akron, OH",444703,466,657,84,1032,295,401,259,0,143,311
"2","Albany-Schenectady-Troy, NY",556796,859,1066,91,1554,729,955,436,38,384,707
"3","Albany, OR",13149,30,0,0,24,9,12,0,0,0,0
"4","Albuquerque, NM",539228,1817,833,52,1621,702,1083,570,0,848,863
"5","Allentown-Bethlehem-Easton, PA-NJ",533335,730,891,4,1029,486,459,709,109,141,138
"6","Amarillo, TX",146498,139,521,72,131,169,98,105,0,34,79
"7","Anchorage, AK",284373,899,105,10,470,300,306,364,79,0,216
"8","Ann Arbor, MI",250207,489,571,0,1029,391,548,339,21,87,106
"9","Anniston-Oxford-Jacksonville, AL",64409,5,24,0,140,0,0,34,11,30,0
"10","Asheville, NC",310597,1671,973,0,1020,567,797,590,24,23,229
"11","Atlanta-Sandy Springs-Roswell, GA",3710999,6777,9519,613,11706,6445,5703,6166,781,3715,5771
"12","Atlantic City-Hammonton, NJ",161552,120,173,21,442,128,56,118,0,7,158
"13","Auburn-Opelika, AL",80375,61,57,11,111,15,143,2,50,15,0
"14","Augusta-Richmond County, GA-SC",315394,532,164,11,804,426,227,77,45,0,169
"15","Austin-Round Rock, TX",1525336,5379,4099,770,8114,3046,3918,2357,128,412,2563
"16","Bakersfield, CA",457492,315,485,117,1124,341,188,492,52,109,220
"17","Baltimore-Columbia-Towson, MD",1735368,2851,3970,60,5079,2294,3212,1647,389,286,1687
"18","Bangor, ME",93400,301,47,0,410,31,175,77,0,0,39
"19","Barnstable Town, MA",170854,858,572,6,722,572,529,194,29,24,248
"20","Baton Rouge, LA",494662,230,887,168,868,1137,437,688,273,452,346
"21","Beaumont-Port Arthur, TX",217389,124,303,51,401,155,99,273,0,0,0
"22","Beckley, WV",10084,0,0,0,0,24,16,0,0,0,0
"23","Bellingham, WA",144604,537,502,37,433,210,425,228,0,46,67
"24","Bend-Redmond, OR",97820,295,335,0,532,36,224,382,0,37,220
"25","Binghamton, NY",111402,264,184,6,121,100,65,133,30,24,89
"26","Birmingham-Hoover, AL",663333,318,763,93,1834,1118,494,787,82,120,476
"27","Bismarck, ND",90525,29,83,0,240,132,107,153,0,0,43
"28","Blacksburg-Christiansburg-Radford, VA",110189,117,261,0,254,202,129,120,0,9,90
"29","Bloomington, IL",103227,215,262,0,375,35,120,115,11,8,55
"30","Bloomington, IN",95989,74,168,0,276,413,262,263,45,0,69
"31","Boise City, ID",490400,1138,801,23,1271,502,697,700,34,54,483
"32","Boston-Cambridge-Newton, MA-NH",3284270,6870,7800,217,13050,5072,7376,4799,159,1117,3490
"33","Bremerton-Silverdale, WA",169697,364,593,29,403,209,389,230,58,18,196
"34","Bridgeport-Stamford-Norwalk, CT",601561,1029,1781,209,2911,1148,1360,416,0,327,1306
"35","Brownsville-Harlingen, TX",205967,99,159,0,378,335,51,190,0,12,0
"36","Buffalo-Cheektowaga-Niagara Falls, NY",710726,920,1223,123,1740,592,855,447,16,173,505
"37","Burlington-South Burlington, VT",124324,457,270,0,318,65,772,75,0,0,268
"38","Burlington, NC",101351,119,132,13,375,157,97,101,11,38,15
"39","California-Lexington Park, MD",12847,30,20,0,0,0,0,0,0,0,0
"40","Canton-Massillon, OH",237010,284,304,34,248,228,104,162,0,12,0
"41","Cape Coral-Fort Myers, FL",420075,497,486,230,1394,494,397,571,42,30,233
"42","Champaign-Urbana, IL",102900,159,60,21,326,153,245,120,0,16,69
"43","Charleston-North Charleston, SC",493835,716,1110,65,1798,571,593,742,19,90,361
"44","Charleston, WV",101789,10,61,0,280,58,144,94,5,0,120
"45","Charlotte-Concord-Gastonia, NC-SC",1640494,1345,2101,295,5488,2198,1821,1981,311,542,1196
"46","Chattanooga, TN-GA",323073,478,601,0,545,438,301,714,46,65,227
"47","Cheyenne, WY",11735,0,15,0,86,0,16,13,0,0,59
"48","Chicago-Naperville-Elgin, IL-IN-WI",5849001,9266,12751,1073,17998,6718,10354,7221,964,3092,5865
"49","Chico, CA",126560,455,161,94,192,110,243,71,10,16,200
"50","Cincinnati, OH-KY-IN",1336381,1477,3190,179,4243,1620,2065,1305,281,207,940
"51","Clarksville, TN-KY",196864,70,108,0,121,247,163,262,37,62,63
"52","Cleveland-Elyria, OH",1262876,1669,2437,149,2934,1736,1628,1363,199,349,803
"53","Cleveland, TN",15147,2,38,0,32,18,0,14,0,0,9
"54","Coeur d'Alene, ID",98582,111,252,0,59,91,146,95,0,68,150
"55","College Station-Bryan, TX",153415,158,471,0,312,413,241,238,0,100,47
"56","Colorado Springs, CO",477492,1142,681,35,1338,672,725,859,62,73,487
"57","Columbia, MO",96997,189,257,16,46,55,326,124,0,0,324
"58","Columbia, SC",495676,582,659,101,848,564,495,439,137,32,479
"59","Columbus, OH",1291200,2522,2783,336,3801,1451,1670,1366,113,151,982
"60","Corpus Christi, TX",264433,284,220,48,218,248,92,234,180,31,144
"61","Corvallis, OR",13782,8,4,0,27,32,0,0,0,26,0
"62","Crestview-Fort Walton Beach-Destin, FL",43065,155,21,9,186,113,18,197,0,45,0
"63","Dallas-Fort Worth-Arlington, TX",4638967,7090,7849,1032,14644,6042,5153,5862,765,1006,3469
"64","Daphne-Fairhope-Foley, AL",134965,243,100,6,337,143,232,197,28,0,94
"65","Dayton, OH",493889,376,859,48,945,706,568,510,68,51,336
"66","Decatur, AL",84376,45,77,30,128,72,92,27,0,24,19
"67","Decatur, IL",46647,23,42,0,5,169,99,25,0,0,20
"68","Deltona-Daytona Beach-Ormond Beach, FL",362775,603,532,27,1029,411,379,419,0,81,168
"69","Denver-Aurora-Lakewood, CO",2014431,4267,5456,242,8629,3595,4489,2811,288,734,2836
"70","Des Moines-West Des Moines, IA",454667,524,1393,0,1542,282,831,669,120,0,351
"71","Detroit-Warren-Dearborn, MI",2563934,4261,4997,172,10864,2797,3248,2743,208,248,1863
"72","Dothan, AL",16511,0,13,0,14,18,10,11,0,4,0
"73","Dover, DE",107901,23,34,0,188,28,25,48,0,41,0
"74","East Stroudsburg, PA",103019,139,85,144,236,286,97,156,0,0,82
"75","Eau Claire, WI",85567,121,115,14,84,120,120,159,3,0,0
"76","El Centro, CA",84365,3,73,0,33,77,0,71,0,0,12
"77","El Paso, TX",480607,294,377,0,606,430,160,341,24,18,190
"78","Elkhart-Goshen, IN",119601,116,175,0,171,0,147,36,0,0,44
"79","Erie, PA",160363,195,101,11,171,66,153,211,0,44,163
"80","Eugene, OR",240086,656,506,105,747,421,383,302,106,75,102
"81","Fayetteville-Springdale-Rogers, AR-MO",310466,486,775,0,1044,329,483,364,0,0,316
"82","Fayetteville, NC",193879,289,109,20,154,161,261,209,28,81,45
"83","Flagstaff, AZ",91710,344,266,0,163,129,159,266,0,97,130
"84","Florence, SC",83016,119,102,24,43,94,9,26,0,48,9
"85","Fort Collins, CO",240857,487,810,33,959,355,391,490,57,17,249
"86","Fort Wayne, IN",230392,419,368,54,571,269,329,284,4,0,14
"87","Fresno, CA",539274,729,709,60,892,725,437,376,125,86,346
"88","Gadsden, AL",43434,53,3,0,23,89,60,10,0,4,0
"89","Gainesville, FL",174547,188,442,0,205,350,290,188,74,56,110
"90","Gainesville, GA",120441,201,166,35,224,263,108,226,0,34,114
"91","Glens Falls, NY",78090,188,158,5,86,169,53,186,9,59,81
"92","Goldsboro, NC",66440,0,40,9,47,67,27,122,0,9,78
"93","Grand Junction, CO",84787,152,58,0,286,167,45,76,25,0,15
"94","Grand Rapids-Wyoming, MI",604326,976,1551,59,1603,1225,1056,1323,21,57,374
"95","Greeley, CO",35984,51,206,14,55,109,33,31,0,0,54
"96","Greensboro-High Point, NC",485972,608,1022,20,903,426,436,628,93,242,60
"97","Greenville-Anderson-Mauldin, SC",596988,720,959,0,1641,806,792,806,109,47,236
"98","Greenville, NC",103103,102,136,62,82,124,186,0,0,0,160
"99","Gulfport-Biloxi-Pascagoula, MS",200734,142,236,14,617,139,8,111,33,25,52
"100","Hanford-Corcoran, CA",77436,43,26,0,78,53,23,175,0,11,0
"101","Harrisburg-Carlisle, PA",370036,568,593,5,686,207,742,393,0,85,213
"102","Harrisonburg, VA",89199,73,130,0,103,257,90,84,0,0,78
"103","Hartford-West Hartford-East Hartford, CT",761208,1023,1332,81,1912,621,1214,1053,111,360,1242
"104","Hattiesburg, MS",21192,0,0,0,49,19,0,0,0,17,0
"105","Hickory-Lenoir-Morganton, NC",237320,272,355,0,395,427,216,150,9,0,102
"106","Hilton Head Island-Bluffton-Beaufort, SC",100064,176,310,0,291,293,186,130,0,0,0
"107","Homosassa Springs, FL",71678,176,47,29,116,113,66,24,0,26,50
"108","Houma-Thibodaux, LA",105096,16,38,0,112,22,29,116,0,12,17
"109","Houston-The Woodlands-Sugar Land, TX",4141304,4881,4806,409,14323,5784,4326,4951,636,1000,1943
"110","Huntsville, AL",282218,540,392,71,285,283,560,393,91,11,202
"111","Indianapolis-Carmel-Anderson, IN",1295818,1722,2169,169,3147,1477,1158,1154,252,107,902
"112","Iowa City, IA",108237,18,159,20,493,40,240,221,0,44,55
"113","Ithaca, NY",68168,218,142,0,210,14,584,36,57,16,163
"114","Jackson, MI",94171,201,280,0,90,22,86,92,0,0,42
"115","Jackson, MS",351162,444,382,0,463,438,217,119,0,15,269
"116","Jackson, TN",66021,223,147,34,212,367,12,133,0,0,13
"117","Jacksonville, FL",943589,1803,2559,215,2052,1224,1014,1367,87,541,925
"118","Janesville-Beloit, WI",101490,0,211,0,276,83,125,36,0,0,6
"119","Jefferson City, MO",72194,33,128,0,112,51,45,47,0,23,92
"120","Johnson City, TN",25877,0,31,0,0,52,12,44,11,0,56
"121","Johnstown, PA",75439,42,39,0,67,17,72,33,0,17,40
"122","Jonesboro, AR",16263,0,61,0,5,0,0,0,0,0,0
"123","Joplin, MO",105612,86,165,0,123,23,95,138,0,23,19
"124","Kalamazoo-Portage, MI",239377,313,478,22,803,377,121,251,52,45,117
"125","Kankakee, IL",49444,21,97,0,94,68,18,16,25,22,0
"126","Kansas City, MO-KS",1398728,1886,3497,149,3304,1820,2099,1558,138,121,985
"127","Knoxville, TN",561909,620,997,144,1556,928,636,628,82,38,799
"128","La Crosse-Onalaska, WI-MN",79138,16,58,0,163,139,122,66,0,0,11
"129","Lafayette-West Lafayette, IN",119558,116,240,0,173,44,127,72,0,0,62
"130","Lafayette, LA",283967,351,368,0,393,418,69,512,0,61,89
"131","Lake Havasu City-Kingman, AZ",114523,93,63,0,121,65,107,87,62,0,15
"132","Lakeland-Winter Haven, FL",394268,594,431,0,583,531,349,748,20,172,251
"133","Lancaster, PA",339369,540,966,35,989,564,374,656,47,307,165
"134","Lansing-East Lansing, MI",302476,446,372,16,434,627,428,277,50,57,77
"135","Laredo, TX",135277,48,154,6,50,0,71,142,70,0,13
"136","Las Cruces, NM",119650,145,95,0,185,76,133,195,0,50,219
"137","Las Vegas-Henderson-Paradise, NV",1340124,1759,2699,119,2495,2966,1520,2214,1011,630,1544
"138","Lawrence, KS",84984,112,134,55,556,79,218,74,0,0,15
"139","Lawton, OK",15249,6,0,0,15,16,0,0,0,0,0
"140","Lebanon, PA",85649,205,132,24,120,31,131,147,0,41,0
"141","Lewiston-Auburn, ME",69108,8,317,0,113,33,25,10,0,0,80
"142","Lima, OH",58774,56,35,8,119,18,34,0,116,0,105
"143","Lincoln, NE",216353,179,438,135,594,165,215,236,83,3,205
"144","Little Rock-North Little Rock-Conway, AR",417435,385,608,10,672,401,574,476,0,17,194
"145","Los Angeles-Long Beach-Anaheim, CA",7891690,32116,27497,7160,44624,25899,29966,15138,3126,24878,46101
"146","Louisville/Jefferson County, KY-IN",786813,929,959,44,1841,1279,1121,823,96,218,581
"147","Lubbock, TX",191559,223,317,0,434,253,108,234,41,6,96
"148","Lynchburg, VA",158318,175,324,108,288,237,144,260,0,0,225
"149","Madera, CA",83442,244,68,0,60,55,82,110,0,37,23
"150","Manchester-Nashua, NH",197140,559,315,13,541,84,200,63,0,37,57
"151","Mankato-North Mankato, MN",12839,0,21,0,10,0,6,4,0,0,41
"152","Mansfield, OH",71298,130,25,0,42,35,95,16,0,0,12
"153","McAllen-Edinburg-Mission, TX",426370,514,268,29,201,507,265,651,141,16,115
"154","Medford, OR",129037,328,140,0,580,164,253,74,14,131,288
"155","Memphis, TN-MS-AR",718411,1013,1052,52,1006,1038,568,623,40,105,433
