"","OCC","MET2013","YEAR","MULTYEAR","SAMPLE","SERIAL","HHWT","DENSITY","MET2013ERR","METPOP10","OWNERSHP","OWNERSHPD","HHINCOME","PERWT","SEX","AGE","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","DEGFIELD","DEGFIELDD","DEGFIELD2","DEGFIELD2D","INCTOT","SEI","Metro","Occupation"
"12584833",4940,41620,2022,2022,202203,6411672,13,4399.8,4,1087839,1,13,111900,15,2,34,1,100,0,0,7,71,0,0,0,0,25500,47,"Salt Lake City, UT","Telemarketers"
"4939611",0,39300,2022,2019,202203,3034763,19,1189.5,4,1718526,1,13,191752,15,1,12,1,100,0,0,2,23,0,0,0,0,9999999,0,"Providence-Warwick, RI-MA","N/A (not applicable)"
"12287104",4760,41420,2022,2022,202203,5198881,48,3511.1,6,390738,1,12,25000,48,1,57,1,100,0,0,6,61,0,0,0,0,25000,47,"Salem, OR","Retail salespersons"
"13083749",5400,0,2022,2022,202203,4995776,6,137,0,38820,1,13,60000,8,2,53,8,826,1,100,7,71,0,0,0,0,40000,44,"Not in identifiable area","Receptionists and information clerks"
"13856816",6260,16700,2022,2018,202203,5554885,14,416.1,1,664607,1,12,30396,14,1,65,3,304,0,0,7,71,0,0,0,0,30396,8,"Charleston-North Charleston, SC","Construction laborers"
"6446263",10,19100,2022,2022,202203,6340552,7,5234.4,3,6426214,1,13,321300,8,1,52,1,100,0,0,10,101,24,2408,0,0,300000,68,"Dallas-Fort Worth-Arlington, TX","Chief executives and legislators"
"8475706",1935,17900,2022,2020,202203,5595326,11,319.1,1,767598,1,13,106515,10,1,69,1,100,0,0,8,81,0,0,0,0,78187,53,"Columbia, SC","Environmental science and geoscience technicians, and nuclear technicians"
"6322566",0,38300,2022,2021,202203,5434100,7,2084.8,5,2356285,1,12,104848,7,2,80,1,100,0,0,6,63,0,0,0,0,8647,0,"Pittsburgh, PA","N/A (not applicable)"
"5702606",0,41860,2022,2021,202203,787281,14,27323.6,1,4335391,2,22,250772,15,2,5,3,361,1,100,1,11,0,0,0,0,9999999,0,"San Francisco-Oakland-Hayward, CA","N/A (not applicable)"
"11819964",4700,26420,2022,2019,202203,5946226,29,2993.7,3,5920416,1,13,204383,40,2,20,6,669,0,0,7,71,0,0,0,0,45929,68,"Houston-The Woodlands-Sugar Land, TX","First-line supervisors of retail sales workers"
"15403115",9620,16980,2022,2020,202203,2164177,48,4155.9,2,9461105,1,13,213597,113,2,20,1,100,0,0,6,61,0,0,0,0,0,8,"Chicago-Naperville-Elgin, IL-IN-WI","Laborers and freight, stock, and material movers, hand"
"5740459",0,49180,2022,2020,202203,4626214,11,420.4,6,640595,1,13,73088,19,2,9,1,100,0,0,1,16,0,0,0,0,9999999,0,"Winston-Salem, NC","N/A (not applicable)"
"10189983",3602,36260,2022,2020,202203,6390244,27,1742.2,5,597159,2,22,80793,25,2,23,6,600,0,0,6,65,0,0,0,0,1020,13,"Ogden-Clearfield, UT","Personal care aides"
"3358375",0,47900,2022,2018,202203,1306505,2,15856,5,5636232,0,0,9999999,2,1,37,2,200,0,0,0,2,0,0,0,0,11223,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV","N/A (not applicable)"
"11217926",4220,10580,2022,2020,202203,4286639,21,1130.8,4,870716,1,13,16091,21,2,48,1,100,0,0,6,63,0,0,0,0,16091,9,"Albany-Schenectady-Troy, NY","Janitors and building cleaners"
"5048412",0,31080,2022,2018,202203,409437,21,12990.9,1,12828837,2,22,55121,26,2,35,1,100,4,416,5,50,0,0,0,0,0,0,"Los Angeles-Long Beach-Anaheim, CA","N/A (not applicable)"
"75600",0,0,2022,2018,202203,1400234,9,534.3,0,244185,1,12,354108,8,2,75,1,100,0,0,6,63,0,0,0,0,5845,0,"Not in identifiable area","N/A (not applicable)"
"11507949",4435,19740,2022,2020,202203,1150779,29,3395.7,4,2543482,1,13,185042,85,1,30,8,826,1,100,6,63,0,0,0,0,5892,19,"Denver-Aurora-Lakewood, CO","Other entertainment attendants and related workers"
